Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"CYLD","CYLD Lysine 63 Deubiquitinase","Protein Coding","Q9NQC7","56","GC16P050742","11.0790309906006","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYLD"
"MIR326","MicroRNA 326","RNA Gene","","28","GC11M075335","11.0624055862427","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR326"
"ADAMTS6","ADAM Metallopeptidase With Thrombospondin Type 1 Motif 6","Protein Coding","Q9UKP5","47","GC05M065148","11.0617294311523","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAMTS6"
"GPI","Glucose-6-Phosphate Isomerase","Protein Coding","P06744","56","GC19P034359","11.0584506988525","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPI"
"METTL3","Methyltransferase 3, N6-Adenosine-Methyltransferase Complex Catalytic Subunit","Protein Coding","Q86U44","50","GC14M021498","11.0535659790039","https://www.genecards.org/cgi-bin/carddisp.pl?gene=METTL3"
"WNT2B","Wnt Family Member 2B","Protein Coding","Q93097","51","GC01P112466","11.0534896850586","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WNT2B"
"CTBP1","C-Terminal Binding Protein 1","Protein Coding","Q13363","56","GC04M001211","11.0517072677612","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTBP1"
"DAZL","Deleted In Azoospermia Like","Protein Coding","Q92904","47","GC03M016586","11.0411472320557","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DAZL"
"RCVRN","Recoverin","Protein Coding","P35243","47","GC17M009896","11.0393686294556","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RCVRN"
"RALA","RAS Like Proto-Oncogene A","Protein Coding","P11233","55","GC07P039622","11.0384092330933","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RALA"
"ANAPC1","Anaphase Promoting Complex Subunit 1","Protein Coding","Q9H1A4","49","GC02M111611","11.0350046157837","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANAPC1"
"KPNA2","Karyopherin Subunit Alpha 2","Protein Coding","P52292","51","GC17P068035","11.0324792861938","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KPNA2"
"EML4","EMAP Like 4","Protein Coding","Q9HC35","47","GC02P042169","11.0319709777832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EML4"
"CCR2","C-C Motif Chemokine Receptor 2","Protein Coding","P41597","52","GC03P055844","11.0070219039917","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCR2"
"LRP1B","LDL Receptor Related Protein 1B","Protein Coding","Q9NZR2","47","GC02M140231","10.9912118911743","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRP1B"
"PON1","Paraoxonase 1","Protein Coding","P27169","56","GC07M095297","10.9871883392334","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PON1"
"OSM","Oncostatin M","Protein Coding","P13725","51","GC22M030262","10.9855890274048","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OSM"
"TNXA","Tenascin XA (Pseudogene)","Pseudogene","Q16473","30","GC06M090763","10.9802761077881","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNXA"
"GLI2","GLI Family Zinc Finger 2","Protein Coding","P10070","57","GC02P120735","10.9730081558228","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLI2"
"ITGB6","Integrin Subunit Beta 6","Protein Coding","P18564","57","GC02M160099","10.9583492279053","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGB6"
"WNT2","Wnt Family Member 2","Protein Coding","P09544","53","GC07M117341","10.9432945251465","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WNT2"
"AGK","Acylglycerol Kinase","Protein Coding","Q53H12","49","GC07P141551","10.9382410049438","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGK"
"PTGES","Prostaglandin E Synthase","Protein Coding","O14684","50","GC09M129738","10.9343605041504","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTGES"
"SLC5A5","Solute Carrier Family 5 Member 5","Protein Coding","Q92911","53","GC19P102640","10.9330768585205","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC5A5"
"EPHA1","EPH Receptor A1","Protein Coding","P21709","55","GC07M143390","10.9311180114746","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPHA1"
"LGR5","Leucine Rich Repeat Containing G Protein-Coupled Receptor 5","Protein Coding","O75473","52","GC12P071439","10.9302234649658","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LGR5"
"MAD2L2","Mitotic Arrest Deficient 2 Like 2","Protein Coding","Q9UI95","51","GC01M011658","10.919732093811","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAD2L2"
"LIFR","LIF Receptor Subunit Alpha","Protein Coding","P42702","55","GC05M038475","10.9014883041382","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LIFR"
"KRT17","Keratin 17","Protein Coding","Q04695","53","GC17M041619","10.8985862731934","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRT17"
"EEF1A1","Eukaryotic Translation Elongation Factor 1 Alpha 1","Protein Coding","P68104","52","GC06M091272","10.8901968002319","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EEF1A1"
"TPO","Thyroid Peroxidase","Protein Coding","P07202","56","GC02P001374","10.8890419006348","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TPO"
"STAT6","Signal Transducer And Activator Of Transcription 6","Protein Coding","P42226","58","GC12M057095","10.8763837814331","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT6"
"ACTN4","Actinin Alpha 4","Protein Coding","O43707","55","GC19P038647","10.87619972229","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACTN4"
"TNS4","Tensin 4","Protein Coding","Q8IZW8","47","GC17M040475","10.8719625473022","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNS4"
"UBE2C","Ubiquitin Conjugating Enzyme E2 C","Protein Coding","O00762","50","GC20P045812","10.8691701889038","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBE2C"
"HES1","Hes Family BHLH Transcription Factor 1","Protein Coding","Q14469","53","GC03P194136","10.8685445785522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HES1"
"APBB3","Amyloid Beta Precursor Protein Binding Family B Member 3","Protein Coding","O95704","45","GC05M140558","10.8487777709961","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APBB3"
"NCOA6","Nuclear Receptor Coactivator 6","Protein Coding","Q14686","49","GC20M035701","10.8486375808716","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NCOA6"
"LIN28B","Lin-28 Homolog B","Protein Coding","Q6ZN17","49","GC06P126428","10.8470764160156","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LIN28B"
"MIR615","MicroRNA 615","RNA Gene","","26","GC12P054033","10.8410243988037","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR615"
"REN","Renin","Protein Coding","P00797","57","GC01M204154","10.8145580291748","https://www.genecards.org/cgi-bin/carddisp.pl?gene=REN"
"S100A7","S100 Calcium Binding Protein A7","Protein Coding","P31151","48","GC01M153457","10.8134317398071","https://www.genecards.org/cgi-bin/carddisp.pl?gene=S100A7"
"PAK4","P21 (RAC1) Activated Kinase 4","Protein Coding","O96013","55","GC19P039125","10.8127107620239","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PAK4"
"UIMC1","Ubiquitin Interaction Motif Containing 1","Protein Coding","Q96RL1","48","GC05M176905","10.8065299987793","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UIMC1"
"CASC17","Cancer Susceptibility 17","RNA Gene","","20","GC17M073115","10.8055763244629","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASC17"
"CXCL9","C-X-C Motif Chemokine Ligand 9","Protein Coding","Q07325","48","GC04M076001","10.7926836013794","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL9"
"FZD7","Frizzled Class Receptor 7","Protein Coding","O75084","52","GC02P202537","10.7798624038696","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FZD7"
"TRA-TGC7-1","TRNA-Ala (Anticodon TGC) 7-1","RNA Gene","","14","GC06M090560","10.7686424255371","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRA-TGC7-1"
"KASH5","KASH Domain Containing 5","Protein Coding","Q8N6L0","40","GC19P103442","10.7685680389404","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KASH5"
"HNRNPA1","Heterogeneous Nuclear Ribonucleoprotein A1","Protein Coding","P09651","56","GC12P054280","10.7575407028198","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNRNPA1"
"G6PD","Glucose-6-Phosphate Dehydrogenase","Protein Coding","P11413","59","GC0XM154593","10.7560787200928","https://www.genecards.org/cgi-bin/carddisp.pl?gene=G6PD"
"CDCP1","CUB Domain Containing Protein 1","Protein Coding","Q9H5V8","45","GC03M045082","10.7532711029053","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDCP1"
"LOC126861258","MED14-Independent Group 3 Enhancer GRCh37_chr11:72012242-72013441","Functional Element","","8","GC11P085427","10.7511978149414","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC126861258"
"MAPK9","Mitogen-Activated Protein Kinase 9","Protein Coding","P45984","56","GC05M180292","10.744499206543","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK9"
"NUMB","NUMB Endocytic Adaptor Protein","Protein Coding","P49757","54","GC14M073275","10.7372970581055","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUMB"
"CXCL14","C-X-C Motif Chemokine Ligand 14","Protein Coding","O95715","45","GC05M135617","10.7292556762695","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL14"
"IQGAP1","IQ Motif Containing GTPase Activating Protein 1","Protein Coding","P46940","51","GC15P090388","10.7281665802002","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IQGAP1"
"TNFRSF11A","TNF Receptor Superfamily Member 11a","Protein Coding","Q9Y6Q6","55","GC18P062325","10.7280616760254","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF11A"
"GNAQ","G Protein Subunit Alpha Q","Protein Coding","P50148","57","GC09M077716","10.7134618759155","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNAQ"
"MELK","Maternal Embryonic Leucine Zipper Kinase","Protein Coding","Q14680","49","GC09P036572","10.7089109420776","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MELK"
"AIM2","Absent In Melanoma 2","Protein Coding","O14862","50","GC01M160098","10.7043323516846","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AIM2"
"COL18A1","Collagen Type XVIII Alpha 1 Chain","Protein Coding","P39060","55","GC21P045405","10.7030172348022","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL18A1"
"BUB1B-PAK6","BUB1B-PAK6 Readthrough","Protein Coding","","20","GC15P148047","10.7004518508911","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BUB1B-PAK6"
"PTGER2","Prostaglandin E Receptor 2","Protein Coding","P43116","55","GC14P052314","10.6868886947632","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTGER2"
"KISS1R","KISS1 Receptor","Protein Coding","Q969F8","55","GC19P000917","10.6762924194336","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KISS1R"
"CUL3","Cullin 3","Protein Coding","Q13618","57","GC02M224470","10.6759958267212","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CUL3"
"CSF3R","Colony Stimulating Factor 3 Receptor","Protein Coding","Q99062","55","GC01M036466","10.6728000640869","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSF3R"
"PAX5","Paired Box 5","Protein Coding","Q02548","54","GC09M037014","10.6703395843506","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PAX5"
"MAPK7","Mitogen-Activated Protein Kinase 7","Protein Coding","Q13164","56","GC17P100863","10.6686668395996","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK7"
"LINC00115","Long Intergenic Non-Protein Coding RNA 115","RNA Gene","","23","GC01M013885","10.6672554016113","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC00115"
"SETBP1","SET Binding Protein 1","Protein Coding","Q9Y6X0","50","GC18P044680","10.655237197876","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SETBP1"
"CCN4","Cellular Communication Network Factor 4","Protein Coding","O95388","47","GC08P133192","10.653416633606","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCN4"
"TRAF4","TNF Receptor Associated Factor 4","Protein Coding","Q9BUZ4","50","GC17P101048","10.6330490112305","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRAF4"
"CSK","C-Terminal Src Kinase","Protein Coding","P41240","55","GC15P074782","10.6303634643555","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSK"
"MSH5-SAPCD1","MSH5-SAPCD1 Readthrough (NMD Candidate)","RNA Gene","","21","GC06P125506","10.618673324585","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSH5-SAPCD1"
"SSX1","SSX Family Member 1","Protein Coding","Q16384","41","GC0XP056655","10.6095333099365","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SSX1"
"MIR367","MicroRNA 367","RNA Gene","","24","GC04M112647","10.6000003814697","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR367"
"EED","Embryonic Ectoderm Development","Protein Coding","O75530","52","GC11P087980","10.5991497039795","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EED"
"OIP5-AS1","OIP5 Antisense RNA 1","RNA Gene","","24","GC15P148101","10.5980653762817","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OIP5-AS1"
"AIRE","Autoimmune Regulator","Protein Coding","O43918","52","GC21P044285","10.593921661377","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AIRE"
"GATA1","GATA Binding Protein 1","Protein Coding","P15976","55","GC0XP048786","10.5904932022095","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GATA1"
"MED1","Mediator Complex Subunit 1","Protein Coding","Q15648","50","GC17M039404","10.5873041152954","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MED1"
"LOC129933695","ATAC-STARR-Seq Lymphoblastoid Active Region 15732","Functional Element","","5","GC02P047439","10.5660409927368","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC129933695"
"RPA1","Replication Protein A1","Protein Coding","P27694","56","GC17P001829","10.565577507019","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPA1"
"AMPH","Amphiphysin","Protein Coding","P49418","52","GC07M039448","10.5611600875854","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AMPH"
"IL1R1","Interleukin 1 Receptor Type 1","Protein Coding","P14778","56","GC02P102136","10.5595817565918","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1R1"
"PCM1","Pericentriolar Material 1","Protein Coding","Q15154","49","GC08P017922","10.5562238693237","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCM1"
"PWAR4","Prader Willi/Angelman Region RNA 4","RNA Gene","","15","GC15P025211","10.5451316833496","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PWAR4"
"DNA2","DNA Replication Helicase/Nuclease 2","Protein Coding","P51530","49","GC10M068414","10.5405187606812","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNA2"
"PRKCB","Protein Kinase C Beta","Protein Coding","P05771","57","GC16P065674","10.5391874313354","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKCB"
"LINC01194","Long Intergenic Non-Protein Coding RNA 1194","RNA Gene","","23","GC05P012530","10.5302028656006","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC01194"
"SLC39A1","Solute Carrier Family 39 Member 1","Protein Coding","Q9NY26","48","GC01M159798","10.5287666320801","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC39A1"
"CSNK2A2","Casein Kinase 2 Alpha 2","Protein Coding","P19784","54","GC16M058157","10.5183744430542","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSNK2A2"
"PTPA","Protein Phosphatase 2 Phosphatase Activator","Protein Coding","Q15257","52","GC09P139365","10.5156364440918","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPA"
"ALOX12","Arachidonate 12-Lipoxygenase, 12S Type","Protein Coding","P18054","53","GC17P100409","10.5116767883301","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALOX12"
"MIR1-2","MicroRNA 1-2","RNA Gene","","21","GC18M033019","10.5114431381226","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR1-2"
"MAP1LC3A","Microtubule Associated Protein 1 Light Chain 3 Alpha","Protein Coding","Q9H492","48","GC20P034546","10.5075092315674","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP1LC3A"
"IFITM1","Interferon Induced Transmembrane Protein 1","Protein Coding","P13164","49","GC11P007341","10.5061063766479","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFITM1"
"LINC00707","Long Intergenic Non-Protein Coding RNA 707","RNA Gene","","20","GC10P006785","10.5026454925537","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC00707"
"IL12RB1","Interleukin 12 Receptor Subunit Beta 1","Protein Coding","P42701","54","GC19M018058","10.499831199646","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL12RB1"
"TNFRSF8","TNF Receptor Superfamily Member 8","Protein Coding","P28908","52","GC01P012063","10.477442741394","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF8"
"FLI1","Fli-1 Proto-Oncogene, ETS Transcription Factor","Protein Coding","Q01543","55","GC11P128686","10.47265625","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FLI1"
"MMP10","Matrix Metallopeptidase 10","Protein Coding","P09238","52","GC11M102770","10.4705858230591","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP10"
"YWHAE","Tyrosine 3-Monooxygenase/Tryptophan 5-Monooxygenase Activation Protein Epsilon","Protein Coding","P62258","57","GC17M016100","10.4667291641235","https://www.genecards.org/cgi-bin/carddisp.pl?gene=YWHAE"
"LRATD2","LRAT Domain Containing 2","Protein Coding","Q96KN1","40","GC08M135585","10.4642925262451","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRATD2"
"NUTF2P3","Nuclear Transport Factor 2 Pseudogene 3","Pseudogene","","13","GC09P077580","10.4604091644287","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUTF2P3"
"LATS2","Large Tumor Suppressor Kinase 2","Protein Coding","Q9NRM7","54","GC13M020973","10.4527959823608","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LATS2"
"MIR124-2","MicroRNA 124-2","RNA Gene","","23","GC08P064379","10.4481639862061","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR124-2"
"HLA-C","Major Histocompatibility Complex, Class I, C","Protein Coding","P10321","52","GC06M090697","10.4344186782837","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-C"
"TNFAIP3","TNF Alpha Induced Protein 3","Protein Coding","P21580","57","GC06P137866","10.4331092834473","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFAIP3"
"INHBB","Inhibin Subunit Beta B","Protein Coding","P09529","50","GC02P141337","10.4276704788208","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INHBB"
"NOG","Noggin","Protein Coding","Q13253","56","GC17P056593","10.426947593689","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOG"
"DES","Desmin","Protein Coding","P17661","56","GC02P219418","10.3863697052002","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DES"
"HSPA9","Heat Shock Protein Family A (Hsp70) Member 9","Protein Coding","P38646","56","GC05M138554","10.3853130340576","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPA9"
"DVL1","Dishevelled Segment Polarity Protein 1","Protein Coding","O14640","55","GC01M001335","10.3804054260254","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DVL1"
"CCNB2","Cyclin B2","Protein Coding","O95067","52","GC15P059105","10.36976146698","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCNB2"
"LINC02041","Long Intergenic Non-Protein Coding RNA 2041","RNA Gene","","18","GC03P187534","10.3691234588623","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC02041"
"HNRNPK","Heterogeneous Nuclear Ribonucleoprotein K","Protein Coding","P61978","54","GC09M106943","10.3677530288696","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNRNPK"
"CCR6","C-C Motif Chemokine Receptor 6","Protein Coding","P51684","51","GC06P167111","10.3508071899414","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCR6"
"RPS27","Ribosomal Protein S27","Protein Coding","P42677","51","GC01P160538","10.3507175445557","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS27"
"SLC35C2","Solute Carrier Family 35 Member C2","Protein Coding","Q9NQQ7","45","GC20M046345","10.3473482131958","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC35C2"
"EIF2S1","Eukaryotic Translation Initiation Factor 2 Subunit Alpha","Protein Coding","P05198","53","GC14P067359","10.3464994430542","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF2S1"
"ZBTB20-AS4","ZBTB20 Antisense RNA 4","RNA Gene","","19","GC03P115100","10.3462409973145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZBTB20-AS4"
"DDX6P1","DEAD-Box Helicase 6 Pseudogene 1","Pseudogene","","13","GC06M029329","10.3462409973145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDX6P1"
"UBE2T","Ubiquitin Conjugating Enzyme E2 T","Protein Coding","Q9NPD8","51","GC01M202332","10.3417778015137","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBE2T"
"TRAF3","TNF Receptor Associated Factor 3","Protein Coding","Q13114","55","GC14P114648","10.3376302719116","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRAF3"
"TRIM25","Tripartite Motif Containing 25","Protein Coding","Q14258","53","GC17M056836","10.3358430862427","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRIM25"
"GAS6","Growth Arrest Specific 6","Protein Coding","Q14393","52","GC13M113820","10.3301591873169","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GAS6"
"LOC111589216","BRCA1 Intron 2 Regulatory Region","Functional Element","","4","GC17P103403","10.3298892974854","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC111589216"
"MIR302D","MicroRNA 302d","RNA Gene","","26","GC04M112648","10.3252906799316","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR302D"
"LOC126861834","BRD4-Independent Group 4 Enhancer GRCh37_chr13:103518038-103519237","Functional Element","","8","GC13P102865","10.3231630325317","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC126861834"
"BACH1","BTB Domain And CNC Homolog 1","Protein Coding","O14867","49","GC21P029194","10.3220806121826","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BACH1"
"RTEL1","Regulator Of Telomere Elongation Helicase 1","Protein Coding","Q9NZ71","50","GC20P066458","10.3074913024902","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RTEL1"
"GTF3C2-AS2","GTF3C2 Antisense RNA 2","RNA Gene","","18","GC02P027338","10.3069839477539","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GTF3C2-AS2"
"SLC2A4","Solute Carrier Family 2 Member 4","Protein Coding","P14672","55","GC17P100440","10.2979145050049","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC2A4"
"ESRRG","Estrogen Related Receptor Gamma","Protein Coding","P62508","51","GC01M216503","10.2869510650635","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ESRRG"
"BCAS3","BCAS3 Microtubule Associated Cell Migration Factor","Protein Coding","Q9H6U6","45","GC17P102070","10.2813415527344","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCAS3"
"SYNE1","Spectrin Repeat Containing Nuclear Envelope Protein 1","Protein Coding","Q8NF91","49","GC06M152121","10.27707862854","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SYNE1"
"YWHAZ","Tyrosine 3-Monooxygenase/Tryptophan 5-Monooxygenase Activation Protein Zeta","Protein Coding","P63104","55","GC08M100917","10.2729301452637","https://www.genecards.org/cgi-bin/carddisp.pl?gene=YWHAZ"
"SASH1","SAM And SH3 Domain Containing 1","Protein Coding","O94885","47","GC06P148193","10.2726106643677","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SASH1"
"FOXC1","Forkhead Box C1","Protein Coding","Q12948","52","GC06P001621","10.2724752426147","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXC1"
"ARID4B","AT-Rich Interaction Domain 4B","Protein Coding","Q4LE39","46","GC01M235133","10.2682905197144","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARID4B"
"UNG","Uracil DNA Glycosylase","Protein Coding","P13051","55","GC12P109097","10.2672967910767","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UNG"
"LSM1","LSM1 Homolog, MRNA Degradation Associated","Protein Coding","O15116","48","GC08M038163","10.2654848098755","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LSM1"
"ROR2","Receptor Tyrosine Kinase Like Orphan Receptor 2","Protein Coding","Q01974","57","GC09M107143","10.2627506256104","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ROR2"
"GLI3","GLI Family Zinc Finger 3","Protein Coding","P10071","57","GC07M041960","10.2619123458862","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLI3"
"PA2G4","Proliferation-Associated 2G4","Protein Coding","Q9UQ80","49","GC12P059620","10.2440719604492","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PA2G4"
"SDCCAG8","SHH Signaling And Ciliogenesis Regulator SDCCAG8","Protein Coding","Q86SQ7","50","GC01P243255","10.2427597045898","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SDCCAG8"
"BCR","BCR Activator Of RhoGEF And GTPase","Protein Coding","P11274","59","GC22P023179","10.2367086410522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCR"
"BABAM1","BRISC And BRCA1 A Complex Member 1","Protein Coding","Q9NWV8","46","GC19P102630","10.2331390380859","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BABAM1"
"SPAG9","Sperm Associated Antigen 9","Protein Coding","O60271","47","GC17M050962","10.2254590988159","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPAG9"
"MIR513A1","MicroRNA 513a-1","RNA Gene","","21","GC0XM147213","10.219744682312","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR513A1"
"SERPINA3","Serpin Family A Member 3","Protein Coding","P01011","52","GC14P094612","10.2176542282104","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINA3"
"VCL","Vinculin","Protein Coding","P18206","56","GC10P073995","10.2154607772827","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VCL"
"TNK2","Tyrosine Kinase Non Receptor 2","Protein Coding","Q07912","55","GC03M195863","10.2143516540527","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNK2"
"PTP4A3","Protein Tyrosine Phosphatase 4A3","Protein Coding","O75365","47","GC08P141391","10.214054107666","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTP4A3"
"TFAP2C","Transcription Factor AP-2 Gamma","Protein Coding","Q92754","50","GC20P056629","10.1987352371216","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TFAP2C"
"MIR217","MicroRNA 217","RNA Gene","","24","GC02M055982","10.1957969665527","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR217"
"CYP2B6","Cytochrome P450 Family 2 Subfamily B Member 6","Protein Coding","P20813","54","GC19P040991","10.188175201416","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP2B6"
